id,ident,type,airport_name,latitude,longitude,elevation_ft,iso_region,municipality,scheduled_service,icao_code,iata_code,state_abbr,airport_name_clean
6539,00IL,small_airport,Hammer Airport,41.978401,-89.560402,840.0,US-IL,Polo,no,,,IL,HAMMER AIRPORT
6541,00IS,small_airport,Hayenga's Cant Find Farms Airport,40.02560043334961,-89.1229019165039,820.0,US-IL,Kings,no,,,IL,HAYENGA'S CANT FIND FARMS AIRPORT
6544,00LL,heliport,Ac & R Components Heliport,39.66529846191406,-89.70559692382812,600.0,US-IL,Chatham,no,,,IL,AC & R COMPONENTS HELIPORT
321919,00NK,seaplane_base,Cliche Cove Seaplane Base,44.8118612,-73.3698057,96.0,US-NY,Beekmantown,no,,,NY,CLICHE COVE SEAPLANE BASE
6554,00NY,small_airport,Weiss Airfield,42.89576,-77.495263,1000.0,US-NY,West Bloomfield,no,,,NY,WEISS AIRFIELD
6585,01CO,heliport,St Vincent General Hospital Heliport,39.24530029296875,-106.24600219726562,10175.0,US-CO,Leadville,no,,,CO,ST VINCENT GENERAL HOSPITAL HELIPORT
6594,01IL,heliport,Hoopeston Community Memorial Hospital Heliport,40.45859909057617,-87.65950012207031,583.0,US-IL,Hoopeston,no,,,IL,HOOPESTON COMMUNITY MEMORIAL HOSPITAL HELIPORT
6596,01IS,small_airport,William E. Koenig Airport,39.01620101928711,-90.31819915771484,670.0,US-IL,Dow,no,,,IL,WILLIAM E. KOENIG AIRPORT
6602,01LL,small_airport,Schumaier Restricted Landing Area,38.12580108642578,-89.46389770507812,555.0,US-IL,Pinckneyville,no,,,IL,SCHUMAIER RESTRICTED LANDING AREA
6616,01NY,heliport,Vassar Hospital Heliport,41.692415,-73.93683,100.0,US-NY,Poughkeepsie,no,,,NY,VASSAR HOSPITAL HELIPORT
6644,02CO,small_airport,Mc Cullough Airport,37.64329910279999,-106.04699707,7615.0,US-CO,Monte Vista,no,,,CO,MC CULLOUGH AIRPORT
6655,02IS,heliport,Condell Medical Center Heliport,42.274600982666016,-87.9572982788086,762.0,US-IL,Libertyville,no,,,IL,CONDELL MEDICAL CENTER HELIPORT
6672,02NY,heliport,Hansen Heliport,43.132598876953125,-75.65550231933594,435.0,US-NY,Durhamville,no,,,NY,HANSEN HELIPORT
6709,03IL,small_airport,Wix Airport,41.40230178833008,-87.81670379638672,750.0,US-IL,Monee,no,,,IL,WIX AIRPORT
6711,03IS,heliport,OSF St Anthony's Health Center Heliport,38.904999,-90.173401,580.0,US-IL,Alton,no,,,IL,OSF ST ANTHONY'S HEALTH CENTER HELIPORT
6732,03NY,small_airport,Talmage Field,40.958308,-72.717326,95.0,US-NY,Riverhead,no,,,NY,TALMAGE FIELD
6766,04IL,small_airport,Schertz Aerial Service - Hudson Airport,40.6375007629,-89.0070037842,755.0,US-IL,Hudson,no,,,IL,SCHERTZ AERIAL SERVICE - HUDSON AIRPORT
6767,04IS,small_airport,Van Gorder Airport,40.1786003112793,-88.56900024414062,728.0,US-IL,Mansfield,no,,,IL,VAN GORDER AIRPORT
6785,04NY,small_airport,Klaverack Airport,42.262298584,-73.6961975098,250.0,US-NY,Hudson,no,,,NY,KLAVERACK AIRPORT
6798,04V,small_airport,Saguache Municipal Airport,38.099083,-106.174389,7826.0,US-CO,Saguache,no,,,CO,SAGUACHE MUNICIPAL AIRPORT
6813,05CO,small_airport,Rancho de Aereo Airport,40.214984,-104.984423,4978.0,US-CO,Mead,no,,,CO,RANCHO DE AEREO AIRPORT
6822,05IL,small_airport,Classic Landings Airport,41.156700134277344,-88.0167007446289,635.0,US-IL,Bonfield,no,,,IL,CLASSIC LANDINGS AIRPORT
