flight_date,flight_month,flight_year,airport_name,origin_state_abbr,operator,aircraft_type,engines,flight_phase,altitude,conditions_sky,conditions_precipitation,wildlife_species,pilot_warned,wildlife_size,latitude,longitude,elevation_ft,nearest_turbine_km,avg_temp_c,avg_humidity_pct,avg_wind_speed_kmh,avg_visibility_km,total_precip_mm,avg_pressure_hpa,season,migration_density,is_peak_migration,risk_target
2021-01-01,1,2021,CHICAGO/ROCKFORD INTL ARPT,IL,UNKNOWN,Unknown,2.0,Unknown,0.0,Unknown,No Precipitation,Mourning dove,Unknown,Small,42.1954,-89.097198,742.0,37.24,-0.7716049382716049,86.31481481481481,20.74260444444444,5.8013726740740745,20.32,990.6444968518518,Winter,0.1815,0,1
2021-01-02,1,2021,CHICAGO/ROCKFORD INTL ARPT,IL,UNKNOWN,Unknown,2.0,Unknown,0.0,Unknown,No Precipitation,Mourning dove,Unknown,Small,42.1954,-89.097198,742.0,37.24,-0.2638888888888889,86.7,11.184913,7.01591773,0.0,992.22920195,Winter,0.1815,0,0
2021-01-05,1,2021,JOHN F KENNEDY INTL,NY,UNKNOWN,Unknown,2.0,Unknown,0.0,Unknown,No Precipitation,Horned lark,Unknown,Small,40.639801,-73.7789,13.0,19.57,3.7418300653594767,68.29411764705883,15.66739823529412,16.07067990588235,0.0,1012.5405699705882,Winter,0.2477,0,0
2021-01-06,1,2021,PEORIA INTL ARPT,IL,UNKNOWN,Unknown,2.0,Unknown,0.0,Unknown,No Precipitation,Mourning dove,Unknown,Small,40.664167,-89.693333,661.0,35.79,1.0648148148148149,80.5,7.376141666666667,9.05298453888889,0.0,1002.446693111111,Winter,0.1815,0,0
2021-01-09,1,2021,DENVER INTL AIRPORT,CO,SOUTHWEST AIRLINES,A  ,2.0,Climb,300.0,Overcast,Snow,Unknown bird - small,No,Small,39.861698,-104.672997,5431.0,14.11,-2.195767195767196,85.63492063492063,6.743900952380953,6.001305495238095,6.604,838.3895356666667,Winter,0.275,0,0
2021-01-05,1,2021,JOHN F KENNEDY INTL,NY,UNKNOWN,Unknown,2.0,Unknown,0.0,Unknown,No Precipitation,Ring-billed gull,Unknown,Medium,40.639801,-73.7789,13.0,19.57,3.7418300653594767,68.29411764705883,15.66739823529412,16.07067990588235,0.0,1012.5405699705882,Winter,0.2477,0,0
2021-01-04,1,2021,CHICAGO O'HARE INTL ARPT,IL,UNKNOWN,Unknown,2.0,Unknown,0.0,Unknown,No Precipitation,Mourning dove,Unknown,Small,41.9786,-87.9048,680.0,4.16,-2.8703703703703702,88.03703703703704,12.18926037037037,6.959203396296296,0.0,990.2807734814814,Winter,0.1815,0,0
2021-01-10,1,2021,CHICAGO O'HARE INTL ARPT,IL,UNKNOWN,Unknown,2.0,Unknown,0.0,Unknown,No Precipitation,Canada goose,Unknown,Large,41.9786,-87.9048,680.0,4.16,-2.388888888888889,75.15,8.8916035,16.00327696,0.0,1001.5587064,Winter,0.1815,0,1
2021-01-05,1,2021,CHICAGO O'HARE INTL ARPT,IL,AMERICAN AIRLINES,A  ,2.0,Landing Roll,0.0,Overcast,No Precipitation,Red-tailed hawk,Yes,Medium,41.9786,-87.9048,680.0,4.16,-0.1587301587301587,84.94285714285714,9.380153142857145,10.34483752,0.0,994.3698842,Winter,0.1815,0,2
2021-01-03,1,2021,JOHN F KENNEDY INTL,NY,UNKNOWN,Unknown,2.0,Unknown,0.0,Unknown,No Precipitation,Short-eared owl,Unknown,Small,40.639801,-73.7789,13.0,19.57,2.8654970760233915,83.52631578947368,19.100324736842104,14.1541453,4.826,1016.2734621052632,Winter,0.2477,0,1
2021-01-05,1,2021,ALBANY INTL,NY,SOUTHWEST AIRLINES,A  ,2.0,Take-off Run,0.0,Some Cloud,No Precipitation,Snow bunting,No,Small,42.748299,-73.801697,285.0,48.16,3.7418300653594767,68.29411764705883,15.66739823529412,16.07067990588235,0.0,1012.5405699705882,Winter,0.2477,0,0
2021-01-03,1,2021,LA GUARDIA ARPT,NY,UNKNOWN,Unknown,2.0,Unknown,0.0,Unknown,No Precipitation,American kestrel,Unknown,Small,40.777199,-73.872597,21.0,17.1,2.8654970760233915,83.52631578947368,19.100324736842104,14.1541453,4.826,1016.2734621052632,Winter,0.2477,0,1
2021-02-10,2,2021,FORT COLLINS-LOVELAND MUNI ARPT,CO,UNKNOWN,Unknown,2.0,Unknown,0.0,Unknown,No Precipitation,Red-tailed hawk,Unknown,Medium,40.451801,-105.011002,5016.0,62.59,-8.494152046783626,81.21052631578948,12.281805263157894,7.7201733842105265,0.254,830.0220121052632,Winter,0.2075,0,0
2021-01-25,1,2021,FOWLER ARPT,CO,BUSINESS,A  ,1.0,Take-off Run,0.0,No Cloud,No Precipitation,Unknown bird - small,No,Small,38.0724983215332,-104.0459976196289,4428.0,43.49,-4.548611111111111,83.25,13.008831666666666,8.4731751,0.0,822.4624162708334,Winter,0.275,0,1
2021-01-27,1,2021,CITY OF COLORADO SPRINGS MUNI APRT,CO,ENVOY AIR,A  ,2.0,Take-off Run,0.0,No Cloud,No Precipitation,Unknown bird - small,No,Small,38.805801,-104.700996,6187.0,38.37,-8.507936507936508,78.25714285714285,8.506511428571429,12.129365674285712,0.0,833.1390186,Winter,0.275,0,1
