record_id,flight_date,flight_month,flight_year,airport_name,origin_state_abbr,operator,make_model,aircraft_type,engines,flight_phase,altitude,conditions_sky,conditions_precipitation,cost,damage,effect,wildlife_species,remarks,remains_collected,remains_sent_to_smithsonian,pilot_warned,number_struck,wildlife_size,people_injured,number_struck_actual
1082943,2021-01-01,1,2021,CHICAGO/ROCKFORD INTL ARPT,IL,UNKNOWN,UNKNOWN,Unknown,2.0,Unknown,0.0,Unknown,No Precipitation,0.0,Unknown,Not Specified,Mourning dove,Not Specified,1,0,Unknown,1,Small,0.0,1.0
1082961,2021-01-02,1,2021,CHICAGO/ROCKFORD INTL ARPT,IL,UNKNOWN,UNKNOWN,Unknown,2.0,Unknown,0.0,Unknown,No Precipitation,0.0,Unknown,Not Specified,Mourning dove,Mourning Dove bird remains were found on RWY 01 during an airfield inspection. There wasn t any bird strikes reported to ATCT.,1,0,Unknown,1,Small,0.0,1.0
1083602,2021-01-05,1,2021,JOHN F KENNEDY INTL,NY,UNKNOWN,UNKNOWN,Unknown,2.0,Unknown,0.0,Unknown,No Precipitation,0.0,Unknown,Not Specified,Horned lark,"Upon inspection of RWY 04L, Horned Lark was found near TWY FB.",1,0,Unknown,1,Small,0.0,1.0
1087288,2021-01-06,1,2021,PEORIA INTL ARPT,IL,UNKNOWN,UNKNOWN,Unknown,2.0,Unknown,0.0,Unknown,No Precipitation,0.0,Unknown,Not Specified,Mourning dove,Not Specified,1,0,Unknown,1,Small,0.0,1.0
1087323,2021-01-09,1,2021,DENVER INTL AIRPORT,CO,SOUTHWEST AIRLINES,B-737-700,A  ,2.0,Climb,300.0,Overcast,Snow,0.0,N,Not Specified,Unknown bird - small,"Small, single bird. No flock.",0,0,No,1,Small,0.0,1.0
1087635,2021-01-05,1,2021,JOHN F KENNEDY INTL,NY,UNKNOWN,UNKNOWN,Unknown,2.0,Unknown,0.0,Unknown,No Precipitation,0.0,Unknown,Not Specified,Ring-billed gull,Found the carcass of a ring-billed gull on the shoulder of RWY 31L near TWY MB,1,0,Unknown,1,Medium,0.0,1.0
1087972,2021-01-04,1,2021,CHICAGO O'HARE INTL ARPT,IL,UNKNOWN,UNKNOWN,Unknown,2.0,Unknown,0.0,Unknown,No Precipitation,0.0,Unknown,Not Specified,Mourning dove,Operations found bird west of Taxiway M1 on the runway. Wildlife Services confirmed bird ID.,1,0,Unknown,1,Small,0.0,1.0
1088004,2021-01-10,1,2021,CHICAGO O'HARE INTL ARPT,IL,UNKNOWN,UNKNOWN,Unknown,2.0,Unknown,0.0,Unknown,No Precipitation,0.0,Unknown,Not Specified,Canada goose,"Operations found goose near Taxiway EE, south of runway 28R/10L. Wildlife Services confirmed bird ID.",1,0,Unknown,1,Large,0.0,1.0
1088040,2021-01-05,1,2021,CHICAGO O'HARE INTL ARPT,IL,AMERICAN AIRLINES,A-320,A  ,2.0,Landing Roll,0.0,Overcast,No Precipitation,0.0,N,Not Specified,Red-tailed hawk,"Pilot reported strike; the after hatch year RTHA was picked up on runway between Taxiways P6 and F. Upon inspection, there was a smear on the fuselage just underneath co-pilot window, but no reported/apparent damage. Wildlife Services confirmed bird ID.",1,0,Yes,1,Medium,0.0,1.0
1088119,2021-01-03,1,2021,JOHN F KENNEDY INTL,NY,UNKNOWN,UNKNOWN,Unknown,2.0,Unknown,0.0,Unknown,No Precipitation,0.0,Unknown,Not Specified,Short-eared owl,Remains Found on RWY 4L/22R on center line near TWY G while conducting a morning  runway sweep,1,1,Unknown,1,Small,0.0,1.0
1088208,2021-01-05,1,2021,ALBANY INTL,NY,SOUTHWEST AIRLINES,B-737-700,A  ,2.0,Take-off Run,0.0,Some Cloud,No Precipitation,0.0,Unknown,Not Specified,Snow bunting,Strike could not be found. NOTE: NUMBER STRUCK NOT REPORTED ASSUME 1. Pilot reported to ATCT that they may have hit something. Pilot was unsure.,1,0,No,1,Small,0.0,1.0
1088520,2021-01-03,1,2021,LA GUARDIA ARPT,NY,UNKNOWN,UNKNOWN,Unknown,2.0,Unknown,0.0,Unknown,No Precipitation,0.0,Unknown,Not Specified,American kestrel,"Found carcass on routine inspection of taxiways, on Taxiway G at Taxiway R. When and what aircraft bird may have struck is unknown. Carcass will be placed in wildlife freezer in case further information needs to be obtained. SI ID  Two bags of remains received. Both bags identified as American Kestrel.",1,1,Unknown,1,Small,0.0,1.0
1090602,2021-02-10,2,2021,FORT COLLINS-LOVELAND MUNI ARPT,CO,UNKNOWN,UNKNOWN,Unknown,2.0,Unknown,0.0,Unknown,No Precipitation,0.0,Unknown,Not Specified,Red-tailed hawk,"Immature bird, found dead in NW corner of runway safety area. DAY.",1,0,Unknown,1,Medium,0.0,1.0
1090791,2021-01-25,1,2021,FOWLER ARPT,CO,BUSINESS,DIAMOND DA20 KATANA,A  ,1.0,Take-off Run,0.0,No Cloud,No Precipitation,0.0,N,Not Specified,Unknown bird - small,NNOTE: OWNER/ OPERATOR  L3 DOSS AVIATION INC/ L3Harris-Doss. ,1,0,No,1,Small,0.0,1.0
1090800,2021-01-27,1,2021,CITY OF COLORADO SPRINGS MUNI APRT,CO,ENVOY AIR,EMB-170,A  ,2.0,Take-off Run,0.0,No Cloud,No Precipitation,0.0,N,Not Specified,Unknown bird - small,no damage to ac ,0,0,No,2-10,Small,0.0,6.0
1090904,2021-02-05,2,2021,CHICAGO MIDWAY INTL ARPT,IL,VOLARIS,A-320,A  ,2.0,Approach,300.0,Some Cloud,No Precipitation,0.0,N,Not Specified,Unknown bird - medium,Not Specified,0,0,No,1,Medium,0.0,1.0
1091056,2021-02-08,2,2021,REPUBLIC AIRPORT,NY,BUSINESS,GULFSTREAM G650,A  ,2.0,Approach,100.0,No Cloud,No Precipitation,0.0,N,Not Specified,Unknown bird - small, 650 HOLDINGS LLC  ,0,0,No,1,Small,0.0,1.0
1091144,2021-02-19,2,2021,PEORIA INTL ARPT,IL,UNKNOWN,UNKNOWN,Unknown,2.0,Unknown,0.0,Unknown,No Precipitation,0.0,Unknown,Not Specified,Mourning dove,MOURNING DOVE REMAINS FOUND ON RWY 31,1,0,Unknown,1,Small,0.0,1.0
