state_abbr,year,month,season,migration_observation_count,species_richness,migration_density,is_peak_migration
CO,2021,1,Winter,198848,220,0.275,0
CO,2021,2,Winter,150455,216,0.2075,0
CO,2021,3,Spring,202449,248,0.28,0
CO,2021,4,Spring,358694,313,0.4981,0
CO,2021,5,Spring,542890,350,0.7551,1
CO,2021,6,Summer,271647,311,0.3766,0
CO,2021,7,Summer,236491,296,0.3275,0
CO,2021,8,Summer,212372,320,0.2939,0
CO,2021,9,Fall,205819,332,0.2848,0
CO,2021,10,Fall,155974,314,0.2152,0
CO,2021,11,Fall,156231,249,0.2156,0
CO,2021,12,Winter,147213,230,0.203,0
CO,2022,1,Winter,194110,228,0.2684,0
CO,2022,2,Winter,148623,211,0.2049,0
CO,2022,3,Spring,199228,249,0.2756,0
CO,2022,4,Spring,388836,329,0.5401,0
CO,2022,5,Spring,587407,359,0.8172,1
CO,2022,6,Summer,318312,331,0.4417,0
CO,2022,7,Summer,292435,319,0.4056,0
CO,2022,8,Summer,236552,322,0.3276,0
CO,2022,9,Fall,245604,348,0.3403,0
CO,2022,10,Fall,191512,335,0.2648,0
CO,2022,11,Fall,163030,273,0.225,0
CO,2022,12,Winter,164696,232,0.2274,0
CO,2023,1,Winter,200163,226,0.2769,0
CO,2023,2,Winter,171670,215,0.2371,0
CO,2023,3,Spring,222217,245,0.3076,0
CO,2023,4,Spring,468492,330,0.6513,1
CO,2023,5,Spring,654195,358,0.9104,1
CO,2023,6,Summer,352107,328,0.4889,0
CO,2023,7,Summer,336397,313,0.467,0
CO,2023,8,Summer,251368,323,0.3483,0
CO,2023,9,Fall,253524,350,0.3513,0
CO,2023,10,Fall,186304,323,0.2575,0
CO,2023,11,Fall,182492,267,0.2522,0
CO,2023,12,Winter,195414,255,0.2702,0
CO,2024,1,Winter,211073,239,0.2921,0
CO,2024,2,Winter,176857,219,0.2443,0
CO,2024,3,Spring,243334,254,0.3371,0
CO,2024,4,Spring,434146,336,0.6033,1
CO,2024,5,Spring,718410,349,1.0,1
CO,2024,6,Summer,399440,320,0.5549,0
CO,2024,7,Summer,327985,317,0.4552,0
CO,2024,8,Summer,289462,324,0.4015,0
CO,2024,9,Fall,321564,347,0.4463,0
CO,2024,10,Fall,236984,335,0.3282,0
CO,2024,11,Fall,180520,271,0.2494,0
CO,2024,12,Winter,196878,237,0.2723,0
CO,2025,1,Winter,2231,164,0.0007,0
CO,2025,2,Winter,2243,164,0.0007,0
CO,2025,3,Spring,3351,184,0.0022,0
CO,2025,4,Spring,6154,229,0.0061,0
CO,2025,5,Spring,7062,245,0.0074,0
CO,2025,6,Summer,6045,226,0.006,0
CO,2025,7,Summer,4858,224,0.0043,0
CO,2025,8,Summer,4231,226,0.0035,0
CO,2025,9,Fall,2657,227,0.0013,0
CO,2025,10,Fall,1840,181,0.0001,0
CO,2025,11,Fall,1801,147,0.0001,0
CO,2025,12,Winter,1750,146,0.0,0
IL,2021,1,Winter,159189,174,0.1815,0
IL,2021,2,Winter,144259,167,0.1642,0
IL,2021,3,Spring,256517,204,0.2941,0
IL,2021,4,Spring,408374,292,0.4698,0
IL,2021,5,Spring,713977,288,0.8234,1
IL,2021,6,Summer,249965,258,0.2865,0
IL,2021,7,Summer,200936,232,0.2298,0
