turbine_id,state_abbr,county,project_name,year,turbine_capacity,t_hh,t_rd,t_rsa,t_ttlh,latitude,longitude
3022062,IL,Bureau County,Agriwind,2008.0,2100.0,80.0,88.0,6082.12,124.1,41.302994,-89.619392
3022061,IL,Bureau County,Agriwind,2008.0,2100.0,80.0,88.0,6082.12,124.1,41.297791,-89.618896
3022063,IL,Bureau County,Agriwind,2008.0,2100.0,80.0,88.0,6082.12,124.1,41.300793,-89.614494
3022060,IL,Bureau County,Agriwind,2008.0,2100.0,80.0,88.0,6082.12,124.1,41.301693,-89.623596
3124620,IL,De Witt County,Alta Farms II,2023.0,4500.0,107.5,145.0,16513.0,180.1,40.185902,-89.006187
3123013,IL,De Witt County,Alta Farms II,2023.0,4500.0,107.5,145.0,16513.0,180.1,40.162827,-89.059639
3123069,IL,De Witt County,Alta Farms II,2023.0,4500.0,107.5,145.0,16513.0,180.1,40.15546,-89.072548
3124608,IL,De Witt County,Alta Farms II,2023.0,2300.0,80.0,108.0,9160.88,134.1,40.214069,-89.10762
3124527,IL,De Witt County,Alta Farms II,2023.0,2300.0,80.0,108.0,9160.88,134.1,40.2108,-89.114571
3123035,IL,De Witt County,Alta Farms II,2023.0,4500.0,107.5,145.0,16513.0,180.1,40.190155,-89.074249
3127548,IL,De Witt County,Alta Farms II,2023.0,4500.0,107.5,145.0,16513.0,180.1,40.214691,-88.996544
3124509,IL,De Witt County,Alta Farms II,2023.0,4500.0,107.5,145.0,16513.0,180.1,40.177349,-89.021721
3124556,IL,De Witt County,Alta Farms II,2023.0,2300.0,80.0,108.0,9160.88,134.1,40.190441,-89.116989
3126103,IL,De Witt County,Alta Farms II,2023.0,4500.0,107.5,145.0,16513.0,180.1,40.197399,-89.102592
3124562,IL,De Witt County,Alta Farms II,2023.0,4500.0,107.5,145.0,16513.0,180.1,40.2048,-89.079567
3124582,IL,De Witt County,Alta Farms II,2023.0,4500.0,107.5,145.0,16513.0,180.1,40.17667,-89.064056
3124627,IL,De Witt County,Alta Farms II,2023.0,4500.0,107.5,145.0,16513.0,180.1,40.199551,-89.060204
3123038,IL,De Witt County,Alta Farms II,2023.0,4500.0,107.5,145.0,16513.0,180.1,40.164181,-89.055344
3124624,IL,De Witt County,Alta Farms II,2023.0,4500.0,107.5,145.0,16513.0,180.1,40.174679,-89.045479
3124504,IL,De Witt County,Alta Farms II,2023.0,4500.0,107.5,145.0,16513.0,180.1,40.192791,-88.99472
3124634,IL,De Witt County,Alta Farms II,2023.0,4500.0,107.5,145.0,16513.0,180.1,40.19244,-89.040749
3124548,IL,De Witt County,Alta Farms II,2023.0,2300.0,80.0,108.0,9160.88,134.1,40.1973,-89.118279
3124615,IL,De Witt County,Alta Farms II,2023.0,2300.0,80.0,108.0,9160.88,134.1,40.175209,-89.12999
3123121,IL,De Witt County,Alta Farms II,2023.0,2300.0,80.0,108.0,9160.88,134.1,40.175488,-89.099342
3124544,IL,De Witt County,Alta Farms II,2023.0,4500.0,107.5,145.0,16513.0,180.1,40.20594,-89.091759
3124516,IL,De Witt County,Alta Farms II,2023.0,4500.0,107.5,145.0,16513.0,180.1,40.193069,-89.057129
3123122,IL,De Witt County,Alta Farms II,2023.0,4500.0,107.5,145.0,16513.0,180.1,40.169193,-89.0522
3124526,IL,De Witt County,Alta Farms II,2023.0,2300.0,80.0,108.0,9160.88,134.1,40.20179,-89.1315
3124512,IL,De Witt County,Alta Farms II,2023.0,4500.0,107.5,145.0,16513.0,180.1,40.187801,-89.02317
3124506,IL,De Witt County,Alta Farms II,2023.0,4500.0,107.5,145.0,16513.0,180.1,40.20298,-89.038551
3124530,IL,De Witt County,Alta Farms II,2023.0,4500.0,107.5,145.0,16513.0,180.1,40.17004,-89.026016
3124631,IL,De Witt County,Alta Farms II,2023.0,4500.0,107.5,145.0,16513.0,180.1,40.20211,-89.054733
3124515,IL,De Witt County,Alta Farms II,2023.0,4500.0,107.5,145.0,16513.0,180.1,40.169998,-89.016983
3124645,IL,De Witt County,Alta Farms II,2023.0,4500.0,107.5,145.0,16513.0,180.1,40.192181,-88.982819
3124538,IL,De Witt County,Alta Farms II,2023.0,4500.0,107.5,145.0,16513.0,180.1,40.18811,-89.032791
3124630,IL,De Witt County,Alta Farms II,2023.0,4500.0,107.5,145.0,16513.0,180.1,40.199261,-89.045807
3123050,IL,De Witt County,Alta Farms II,2023.0,2300.0,80.0,108.0,9160.88,134.1,40.171913,-89.107651
3124505,IL,De Witt County,Alta Farms II,2023.0,4500.0,107.5,145.0,16513.0,180.1,40.208599,-89.087822
3124492,IL,De Witt County,Alta Farms II,2023.0,2300.0,80.0,108.0,9160.88,134.1,40.185669,-89.120354
3124519,IL,De Witt County,Alta Farms II,2023.0,4500.0,107.5,145.0,16513.0,180.1,40.171749,-89.00988
3124613,IL,De Witt County,Alta Farms II,2023.0,4500.0,107.5,145.0,16513.0,180.1,40.185459,-88.981956
3124517,IL,De Witt County,Alta Farms II,2023.0,4500.0,107.5,145.0,16513.0,180.1,40.19482,-89.096527
3124640,IL,De Witt County,Alta Farms II,2023.0,2300.0,80.0,108.0,9160.88,134.1,40.194611,-89.132011
3123048,IL,De Witt County,Alta Farms II,2023.0,4200.0,107.5,,,,40.187561,-89.078682
3124531,IL,De Witt County,Alta Farms II,2023.0,4500.0,107.5,145.0,16513.0,180.1,40.188999,-89.016991
3124533,IL,De Witt County,Alta Farms II,2023.0,4500.0,107.5,145.0,16513.0,180.1,40.195629,-89.014091
3124602,IL,De Witt County,Alta Farms II,2023.0,4500.0,107.5,145.0,16513.0,180.1,40.20208,-89.00029
3124629,IL,De Witt County,Alta Farms II,2023.0,4500.0,107.5,145.0,16513.0,180.1,40.185871,-88.988403
3123047,IL,De Witt County,Alta Farms II,2023.0,4500.0,107.5,145.0,16513.0,180.1,40.176174,-89.070839
3127537,IL,De Witt County,Alta Farms II,2023.0,4500.0,107.5,145.0,16513.0,180.1,40.206757,-89.007698
3124600,IL,De Witt County,Alta Farms II,2023.0,4500.0,107.5,145.0,16513.0,180.1,40.20945,-89.069038
3127447,IL,De Witt County,Alta Farms II,2023.0,4500.0,107.5,145.0,16513.0,180.1,40.210648,-89.001366
